Ref,Val,Package,PosX,PosY,Rot,Side
"R1817","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",73.600000,-109.000000,180.000000,top
"R1818","20K","Potentiometer_Bourns_3296W_Vertical_Screw_SS",75.000000,-105.000000,180.000000,top
"R2004","18","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",140.500000,-134.000000,180.000000,top
"R2005","36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.000000,-126.000000,-90.000000,top
"R2006","300","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",139.500000,-139.000000,-90.000000,top
"R2007","300","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.000000,-135.000000,-90.000000,top
"R2008","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.000000,-128.000000,180.000000,top
"R2009","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.000000,-124.500000,180.000000,top
"R2016","6.8K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.500000,-128.500000,180.000000,top
"R2017","3.3K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",175.000000,-125.000000,-90.000000,top
"R2018","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.500000,-129.000000,180.000000,top
"R2019","4.7K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.500000,-125.500000,180.000000,top
"R2101","2.7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",236.500000,-101.000000,0.000000,top
"R2203","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.500000,-106.000000,90.000000,top
"R2204","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",82.000000,-109.000000,0.000000,top
"R2205","2.2M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.000000,-126.000000,0.000000,top
"R2207","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.000000,-113.000000,0.000000,top
"R2208","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",95.500000,-115.500000,90.000000,top
"R2209","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",111.000000,-124.000000,90.000000,top
"R2210","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.000000,-113.000000,90.000000,top
