Ref,Val,Package,PosX,PosY,Rot,Side
"R1603","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",205.000000,-138.000000,180.000000,top
"R1604","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",200.500000,-138.000000,270.000000,top
"R1605","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",198.000000,-138.500000,90.000000,top
"R1606","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",204.500000,-127.500000,90.000000,top
"R1607","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",213.500000,-126.500000,270.000000,top
"R1608","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",206.500000,-127.500000,270.000000,top
"R1609","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",206.000000,-118.500000,90.000000,top
"R1704","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.000000,-66.000000,180.000000,top
"R1707","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.700000,-66.900000,90.000000,top
"R1708","680","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",77.000000,-62.000000,180.000000,top
"R1710","270K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.000000,-62.000000,180.000000,top
"R1711","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",79.000000,-75.000000,180.000000,top
"R1712","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.000000,-70.000000,0.000000,top
"R1715","75K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.000000,-71.000000,270.000000,top
"R1718","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.000000,-76.000000,0.000000,top
"R1724","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.000000,-72.000000,180.000000,top
"R1804","51","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.000000,-89.000000,180.000000,top
"R1805","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",135.000000,-69.000000,0.000000,top
"R1806","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",140.000000,-69.000000,0.000000,top
"R1807","DNI","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",135.000000,-65.000000,0.000000,top
"R1808","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.000000,-55.000000,180.000000,top
"R1809","51","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.000000,-59.000000,180.000000,top
"R1810","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",125.000000,-55.000000,0.000000,top
"R2001","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",148.000000,-75.000000,270.000000,top
"R2002","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",140.000000,-64.000000,90.000000,top
"R2102","36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.000000,-89.000000,270.000000,top
"R2103","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",154.000000,-90.000000,180.000000,top
"R2104","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",156.000000,-85.000000,180.000000,top
"R2105","1.6K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",160.000000,-87.000000,270.000000,top
"R2106","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",189.000000,-81.000000,0.000000,top
"R2108","360","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.000000,-93.000000,180.000000,top
"R2109","6.8","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.000000,-90.000000,0.000000,top
"R2110","30","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.000000,-88.000000,0.000000,top
"R2113","2K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.000000,-55.000000,180.000000,top
"R2114","36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",183.000000,-67.000000,90.000000,top
"R2115","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",186.000000,-64.000000,0.000000,top
"R2116","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",186.000000,-68.000000,0.000000,top
"R2117","1.6K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.500000,-55.000000,180.000000,top
"R2118","36","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.000000,-62.000000,270.000000,top
"R2119","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.000000,-66.000000,0.000000,top
"R2120","150","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.000000,-56.000000,0.000000,top
"R2121","360","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.000000,-61.500000,270.000000,top
